,pretty_formula,bandgap,cell_length_a,cell_lentgh_b,cell_lentgh_c,cell_angle_alpha,cell_angle_beta,cell_angle_gamma
1798,KHgC3(SN)3,1.9119000000000002,4.10727800,12.07062700,22.30534881,58.78445234,90.00000000,90.00000000
1799,Rb3Tm2Cu4Br13,1.9139,11.10350600,11.10350600,11.10350600,90.00000000,90.00000000,90.00000000
1800,Fe2TeWC10SeO10,1.912,6.95645700,9.56945294,13.83500081,81.56433493,82.13893375,85.34031981
1801,VAgO3,1.9367,7.29770221,7.29770221,5.60195675,82.89048912,82.89048912,86.78467741
1802,H8PtO6,1.9343,5.59898200,5.65291118,7.40608401,88.37080081,86.07286704,81.53932514
1803,H8PtO6,1.9377,5.61149700,5.72181583,7.35410691,87.23899783,88.42011408,81.50605689
1804,H2WO5,1.9137000000000002,3.95383200,7.51197900,11.97228128,70.82060855,90.00000000,90.00000000
1805,U(HO2)2,1.9309000000000003,5.60037134,5.60037134,7.17559200,90.00000000,90.00000000,136.59438748
1806,Cs2SiSe4,1.9376000000000002,8.68154145,8.68154145,10.35810362,61.91864049,61.91864049,53.61922417
1807,SrMgNiH4,1.9099999999999997,6.92001400,6.92001400,6.92001400,90.00000000,90.00000000,90.00000000
1808,MnH2SeO5,1.9202,5.52891719,11.05880684,8.04749828,106.13852532,73.89783442,80.37119701
1809,Ti2SCl12,1.9333,14.42191756,14.42191756,14.42191762,103.99954777,103.99954777,103.99954668
1810,La4(GeS4)3,1.9238999999999997,11.64352156,11.64352156,11.64352216,114.70262374,114.70262374,114.70261738
1811,Os2Pt(CO)9,1.915,10.48763200,15.72458700,17.96373100,90.00000000,90.00000000,90.00000000
1812,Fe3C9S2O9,1.9239,6.88624500,9.21092479,13.18122565,93.98866674,94.12941676,111.17747912
1813,K2PtS15,1.9164999999999999,9.27989103,9.27989103,12.83858695,89.44388363,89.44388363,65.81122620
1814,Re(TeBr2)2,1.9379,11.05656104,11.05656104,11.05656104,116.12580652,116.12580652,96.85244345
1815,Ba8CaY2U4O24,1.9303,10.76834837,10.76834837,12.40363700,90.00000000,90.00000000,109.76859682
1816,RbHgC3(SN)3,1.9419,4.24464600,11.34841700,11.63861884,64.38264167,90.00000000,90.00000000
1817,KNbCl6,1.9232,7.02413657,22.48606517,23.82055667,90.00000000,91.10968049,90.00000000
1818,Sm6Th4O17,1.9197000000000002,3.90451790,3.90451815,39.88361553,60.69300684,60.69300454,59.99999690
1819,Ba2NaReO6,1.9173999999999998,5.95476258,5.95476258,5.95476258,60.00000000,60.00000000,60.00000000
